,Type,Address,District,City,Price (€),Area (sqm.),Year built,Form of ownership
40,"Kerrostalo | 3h, k, kph",Pääskysentie 2a A,Metsola,Kotka,82 000,"66,5",1964,Omistusasunto
41,"Kerrostalo | 1h, tpk, s, lasitettu parveke",Kirkkokatu 19 c,Keskusta,Lahti,179 600,40,2013,Omistusasunto
42,"Omakotitalo | 4h, tk, th, wc, kph",Kiekerökatu 14,Keskusta,Kemijärvi,105 000,"113,8",1981,Omistusasunto
43,"Rivitalo | 2h, kk, s",Jouhenniementie 3 A,Kerimäki,Savonlinna,43 000,48,1984,Omistusasunto
44,"Kerrostalo | 2h, k, kph, p",Spinellikuja 9,Kivistö,Vantaa,189 000,"38,5",2019,Omistusasunto
45,Kerrostalo | 2h + k + parveke,Wallininkuja 6,Kallio,Helsinki,365 000,"55,5",1968,Omistusasunto
46,"Kerrostalo | 4h, k, parveke",Vanajantie 1,Kantola,Hämeenlinna,89 000,"88,7",1960,Omistusasunto
47,"Omakotitalo | 4h, k, s, kellari- ja ullakkotilat",Tirintie 2,,Ilomantsi,19 000,110,1958,Omistusasunto
48,Omakotitalo | 3-4h + oh + takkah + k + kph,Kasperintie 306,Haminalahti,Kuopio,278 000,136,2004,Omistusasunto
49,Omakotitalo | 4h + oh + k + khh + psh + s + 2 kpl vh,Vanha Soukkiontie 888,Hirvihaara,Mäntsälä,380 000,150,2009,Omistusasunto
50,"Paritalo | 4h, k, s, kph, käyttöullakko",Käkikuja 6-8,Korso,Vantaa,259 000,90,1985,Omistusasunto
51,"Omakotitalo | 2mh, tupak, s, kph, pkh, wc",Jalkalantie 1517,Jalkala,Suonenjoki,149 000,100,1948,Omistusasunto
52,Omakotitalo | 5h + avok + kph / wc + vh + autokatos + piharakennus,Koivukaari 13,Täktom,Hanko,165 000,118,1983,Omistusasunto
53,"Kerrostalo | 3h, k, kph / wc, 2vh, lasit.parv.",Pohjolankatu 16,Tammela,Tampere,290 000,75,1977,Omistusasunto
54,Rivitalo | 3h + k + 3xvh + erill.wc + kph + s + ak + varasto,Kanjoninkatu 8,Hervanta,Tampere,219 000,82,1985,Omistusasunto
55,Rivitalo | 3h + k + s + kph + wc + wc / khh + terassi + 2var + ak,Tähtimökatu 9,Kurala,Turku,286 000,75,2016,Omistusasunto
56,Kerrostalo | 1h + kk,Käräjätie 9,Vanhakylä,Ulvila,"30 481,71","27,5",1976,Omistusasunto
57,"Rivitalo | 5h, k, s, ak",Taljatie 3,,Taipalsaari,218 000,95,2005,Omistusasunto
58,Kerrostalo | 2h + kk + s,Malmikatu 7,Keskusta,Joensuu,136 500,46,2000,Omistusasunto
59,"Kerrostalo | 2h, k, s, p",Haapaniementie 4,Uusi-Haapaniemi,Kuopio,239 000,53,2013,Omistusasunto
60,"Rivitalo | 4 h, k, s, ransk.p., terassi",Metsolankuja 3,Rantaperkiö,Tampere,335 000,100,2006,Omistusasunto
61,"Rivitalo | 2h, k",Linjakatu 7 B,Merstola,Harjavalta,39 900,65,1980,Omistusasunto
62,Kerrostalo | 2-3h + kph + k + vh + p,Ilmarinkatu 46,Kaleva,Tampere,249 000,58,1956,Omistusasunto
63,Kerrostalo | 2h + kk,Koskitie 25 B,Tuira,Oulu,112 000,60,1939,Omistusasunto
64,"Omakotitalo | 3mh, oh, työhuone, takkahuone, pelihuone, ask.h / khh, kph, s",Oitintie 54,Sälinkää,Mäntsälä,348 000,159,1967,Omistusasunto
65,Kerrostalo | 2h + kk,Porthaninkatu 7,Kallio,Helsinki,329 000,61,1971,Omistusasunto
66,"Kerrostalo | 3h, k, kph / wc, lasit.p",Lammassaarentie 5,Ylinen,Ylöjärvi,59 000,74,1969,Omistusasunto
67,"Omakotitalo | 5h, k, 2wc, kph / s, kellaritiloja",Kivirinne 17,Karjaa,Raasepori,63 000,150,1958,Omistusasunto
68,Rivitalo | 3h + k + wc + wc / kph + s + parveke + terassi,Kaistarniementie 30 D,Hirvensalo,Turku,278 000,109,2007,Omistusasunto
69,Kerrostalo | 3h + khh + s + wc + kph,Aleksanterinkatu 29 A,Keskusta,Tampere,299 900,66,1961,Omistusasunto
70,Paritalo | 4h + k + s + 2xkph + wc + khh,Simpukankuja 2a,Nikinmäki,Vantaa,385 000,106,2005,Omistusasunto
71,"Kerrostalo | 2h, k, p",Perjalantie 3,Uramo,Riihimäki,65 000,"58,5",1969,Omistusasunto
72,Kerrostalo | 3h + k + kph + parveke,Kataraistentie 1 D,Koivula,Turku,145 000,"62,5",1985,Omistusasunto
73,"Paritalo | 5h, k, kph / wc, s, khh, wc, et, at, var, tekninentila",Fiskarintie 7 A,Oulunlahti,Oulu,448 000,"146,7",2018,Omistusasunto
74,"Rivitalo | 3h, k, s",Tammentie 2,Jynkkä,Kuopio,147 000,76,1987,Omistusasunto
75,"Omakotitalo | Okt 5h, k, kph, khh, s, wc, vh, at",Välipolku 1,Haukipudas,Oulu,229 000,124,1988,Omistusasunto
76,"Rivitalo | 2h, k, kph",Korkeakoskentie 23,,Jyväskylä,74 000,"45,5",1998,Omistusasunto
77,"Omakotitalo | 4h, k, kph / wc, erill.wc, parveke, terassi",Mekkoholmantie 3,Kuru,Ylöjärvi,115 000,103,1915,Omistusasunto
78,"Kerrostalo | 2h, avokeittiö, kph / wc, lasitettu parveke.",Teollisuuskatu 28,Vallila,Helsinki,375 000,40,2019,Omistusasunto
79,"Kerrostalo | 1h, k",Viitaniementie 4,Viitaniemi,Jyväskylä,375 000,39,1962,Omistusasunto
80,Kerrostalo | 2 h + kk + kh + alk + parveke,Yhdistystie 4,Haaga,Helsinki,270 000,"50,5",1956,Omistusasunto
81,Kerrostalo | 2h + k + kph + p,Puutarhakatu 10,Puistola,Jyväskylä,134 900,50,1961,Omistusasunto
82,Kerrostalo | 1h + kt + lasit.p,Tykkitienkatu 2,Rahola,Tampere,134 000,"31,5",2014,Omistusasunto
83,"Paritalo | 4h, k, s, ph / kh-tila, wc, 2xvarasto, lasiterassi, katettu terassi, autokatospaikka",Purotie 2,Ruutana,Kangasala,248 000,93,1988,Omistusasunto
84,"Omakotitalo | oh, rh, k, s, kh. khh, wc, eteinen, yläk. 3 mh, wc, vaateh.",Katinkuruntie 7,Pinomäki,Pori,345 000,135,2016,Omistusasunto
85,"Omakotitalo | 3h, k, aula, erill. saunarakennus",Ilmarisenkatu 22,Lapvesi,Lappeenranta,169 500,88,1950,Omistusasunto
