,Type,Address,District,City,Price (€),Area (sqm.),Year built,Form of ownership
196,Kerrostalo | 2h + kt + s,Sibeliuksenbulevardi 9 A 18,Keskusta,Porvoo,232 300,46,2022,Omistusasunto
197,Paritalo | 3h + kt + s,Vanha Porvoontie 376 B,Nikinmäki,Vantaa,268 000,60,2020,Omistusasunto
198,Rivitalo | 3h + k + s + kodinhoitohuone + askarteluhuone + varasto (yht. järjestyksen mukaan 3 h + k + s),Hietanummenkuja 4,Tapaninkylä,Helsinki,329 000,103,1991,Omistusasunto
199,"Kerrostalo | 2 h, k, s, lasitettu parveke",Matinkallio 7,Matinkylä,Espoo,293 000,"46,5",2017,Omistusasunto
200,"Rivitalo | 2h, k, s",Liesitie 2,Ilmarinen,Kerava,293 000,46,1986,Omistusasunto
201,"Kerrostalo | olohuone, makuuhuone, ikk.kk., vh, sh / wc",Eteläpuisto 11 C,Keskusta,Pori,98 000,50,1962,Omistusasunto
202,Kerrostalo | 4h + kt + vh( / s),Kalliomäenkaari 33 A 39,Söderkulla,Sipoo,299 900,69,-,Omistusasunto
203,Omakotitalo | 4h + k + et + wc + kph + s + pukuh + tek.tila + v + ullakko + ulkorakennus,Puostantie 1,,Kaarina,69 500,100,1951,Omistusasunto
204,"Omakotitalo | 3 mh, oh, k, s, ph, 3 x wc, harrasteh, 2 x var, kellari, at",Tuuliviirintie 25,Vähärauma,Pori,249 000,180,1993,Omistusasunto
205,Puutalo-osake | 4h + k + s,Ruukinrinne 9b B,Nummi,Turku,186 000,104,1928,Omistusasunto
206,Paritalo | 4h + k + khh + psh + s,Vehkatie 44A1,Loutti,Järvenpää,369 000,88,2023,Omistusasunto
207,Kerrostalo | 1 h + kk,Urpolankatu 3,Urpola,Mikkeli,69 000,26,1971,Omistusasunto
208,Kerrostalo | 3h + k + kph + s + wc + lasp + var (yht.järj. muk. 3h + k + s),Puistikko 11 As 3,Koivistonmäki,Riihimäki,345 600,88,2023,Omistusasunto
209,Rivitalo | 2h + k + s,Kiskokuja 2,Joutseno,Lappeenranta,79 000,"62,5",1989,Omistusasunto
210,"Omakotitalo | Oh, k, 1mh, vh, kph, s, khh, yläk (1mh ja wc)",Kallunginniementie 25,Käylä,Kuusamo,183 000,107,1999,Omistusasunto
211,"Rivitalo | 4h, k, kph / 2wc, sauna, khh, tkh, vh 135 m2 + lämmin käyttöullakko noin 50 m2",Kuusmiehentie 72,Paloheinä,Helsinki,495 000,135,1979,Omistusasunto
212,Omakotitalo | 3h + k + khh + ph + s,Mustikkatie 2,,Alajärvi,239 000,"94,7",2019,Omistusasunto
213,"Rivitalo | 3-4h, avok., s",Tuulenpuolentie 5 B 2,Ilmarinen,Lieto,308 000,"83,5",2023,Omistusasunto
214,"Rivitalo | 4h, avok., khh, s",Tuulenpuolentie 5 A 1,Ilmarinen,Lieto,339 000,92,2023,Omistusasunto
215,Paritalo | 4-5h + k + s,Raivionmutka 4,Kuokkalanpelto,Jyväskylä,332 500,95,2022,Omistusasunto
216,Paritalo | 3h + k + s,Raivionmutka 4,Kuokkalanpelto,Jyväskylä,237 600,66,2022,Omistusasunto
217,Rivitalo | 3h + k + kh + s,Santaholmantie 97,Haukipudas,Oulu,120 000,72,2002,Omistusasunto
218,Kerrostalo | 1 h + kk + kph + m.alkovi,Mikonkatu 3 B,Keskusta,Turku,142 000,31,1963,Omistusasunto
219,"Kerrostalo | 2 h, k, kph, parveke",Uudenmaankatu 110,Vehkoja,Hyvinkää,82 500,"58,5",1983,Omistusasunto
220,Kerrostalo | 2h + k + kph + s + p,Kymenlaaksonkatu 2,Kuusankoski,Kouvola,165 000,70,2009,Omistusasunto
221,Kerrostalo | 2H + K + S,Klariksentie 1,Suurpelto,Espoo,"41 867,72",62,2010,Asumisoikeusasunto
222,Kerrostalo | 4h + k + kph + wc + las.parv.,Heinjoenpolku 3,Laajalahti,Espoo,195 000,89,1974,Omistusasunto
223,Omakotitalo | 4h + k + k + sauna / kph + 2x wc + kellari,Ruotutorpantie 14b,Malmi,Helsinki,239 000,87,1954,Omistusasunto
224,Rivitalo | 3h + k + s + wc,Lapinniementie 32,,Pietarsaari,89 000,79,1978,Omistusasunto
225,"Paritalo | 4h, k, khh, kh, s, 2wc, kylmäkellari, harrastetila",Järveläntie 2 as 1,Jyskä,Jyväskylä,179 000,134,1954,Omistusasunto
226,"Kerrostalo | 3h, k, kph, p",Tietoraitti 6,Hervanta,Tampere,195 000,56,2017,Omistusasunto
227,Kerrostalo | 3H + K + S,Kyösti Kallion katu 9 A 23,,Lahti,"41 161,06","75,5",2022,Asumisoikeusasunto
228,Kerrostalo | 2H + KT + S,Kinkoranta 4 as 13,Kinkomaa,Muurame,"25 099,11","49,5",2020,Asumisoikeusasunto
229,Luhtitalo | 1h + alkovi + kt (yj:n mukaan 1 h + kt),Asteritie 3,Malmi,Helsinki,179 000,"34,5",2019,Omistusasunto
230,"Kerrostalo | 2-3h, kt, s",Kaartokatu 44 A,Keskusta,Kuopio,257 000,"63,5",2020,Omistusasunto
231,"Kerrostalo | 2h, kk, kph / wc, vh",Rämsäläntie 5,Tervakoski,Janakkala,42 000,55,1962,Omistusasunto
232,Paritalo | 5H + AVOK + KHH + S,Alankotie 31,Loutti,Järvenpää,418 000,100,2020,Omistusasunto
233,"Omakotitalo | 5h, k, yläaula, s, ph, khh, wc + kellari, kuisti, kasvihuone, pihavarasto.",Sarvvikinpiha 5,Sarvvik,Kirkkonummi,547 000,170,1920,Omistusasunto
234,Rivitalo | 2h + k + vh + wc + kph + s,Kymenmaankatu 6,Isokytö,Järvenpää,173 000,64,1988,Omistusasunto
235,Kerrostalo | 3h + k,Hietasaarenkatu 12,Keskusta,Vaasa,195 000,"74,5",1969,Omistusasunto
236,Omakotitalo | 6 h + k + s,Venlantie 4 B,Siivikkala,Ylöjärvi,445 000,137,2022,Omistusasunto
237,Omakotitalo | 6 h + k + s,Venlantie 4 A,Mettistö,Ylöjärvi,475 000,137,2022,Omistusasunto
238,Kerrostalo | 2h + kt + kt,Metsäläntie 8 B A8,Pasila,Helsinki,238 875,"45,5",2024,Omistusasunto
239,"Omakotitalo | 4h, k, s, khh",Leinikkitie 31,Kanervala,Joensuu,238 875,152,1958,Omistusasunto
240,Omakotitalo | 3mh + o + k + s + th + at,Vanhankartanontie 7,Mesilä,Kokkola,169 000,120,1958,Omistusasunto
241,Kerrostalo | 1 h + kk + kph + lasitettu parveke,Peltoniemenkuja 2,Havukoski,Vantaa,99 000,"32,5",1978,Omistusasunto
242,Erillistalo | 4h + k + wc + sauna + kph + khh,Heinäsirkankatu 4,Koivuhaka,Kokkola,92 000,95,1980,Omistusasunto
243,"Omakotitalo | 8h, k, s, kph",Haapasalonkatu 3,Kirkonvarkaus,Mikkeli,870 000,266,2017,Omistusasunto
244,"Kerrostalo | 3h, k, kph, vaatehuone",Vähäuusikatu 11 B as,Itätulli,Pori,119 000,"80,5",1984,Omistusasunto
245,"Omakotitalo | 3h, k, kph",Kuovisuontie 14,Lappi,Rauma,79 000,100,1936,Omistusasunto
246,Kerrostalo | 2h + kk + kph / wc,Hillervontie 11 D,Sampola,Pori,24 500,"50,5",1974,Omistusasunto
247,"Rivitalo | 4h, k, khh, s, kph, wc, vaatehuone",Päkintie 31 as,Väinölä,Pori,118 000,"97,5",1984,Omistusasunto
248,Paritalo | 4h + k + s + ak,Lapinsalmentie 32 as 1,Lapinmäki,Keuruu,127 000,103,1992,Omistusasunto
249,"Kerrostalo | 2h, k, kph, p",Latokartanontie 6-8 E,Keskusta,Orivesi,44 500,"54,5",1974,Omistusasunto
250,Kerrostalo | 2h + k,Pohjolankatu 8 B,Keskusta,Kajaani,77 000,"53,5",1969,Omistusasunto
251,"Rivitalo | 2h, k, s",Metsätie 11 A,Ritikka,Kemi,53 000,"60,5",1979,Omistusasunto
252,"Paritalo | 4h, k, wc, vh, khh, kph / wc, s",Nurmitie 6b as 2,Kuusisto,Kaarina,395 000,114,2023,Omistusasunto
253,Omakotitalo | 4h + k + 2wc + kph + vh,Juholankyläntie 8,,Sotkamo,143 000,118,1984,Omistusasunto
254,Kerrostalo | 2h + k + kph + parv.,Ylisentie 28 B,Uppa,Seinäjoki,73 500,"51,5",1971,Omistusasunto
255,"Kerrostalo | 2h, k",Latokartanontie 6-8,Keskusta,Orivesi,45 000,"54,5",1976,Omistusasunto
256,"Kerrostalo | 2h, k, kph / wc, p",Heinosenkuja 3,Kuusankoski,Kouvola,39 000,"58,5",1976,Omistusasunto
257,Rivitalo | 2h + k + saunaos.,Laurantie 4,Peltola,Lappeenranta,169 000,56,1990,Omistusasunto
258,"Kerrostalo | 3h, k, s, erill.wc, vh, las.p",Koelaitoksenkatu 4 A,Tampella,Tampere,947 000,"77,5",2020,Omistusasunto
259,"Paritalo | 4h, k, wc, vh, khh, kph / wc, s",Nurmitie 6b as 1,Kuusisto,Kaarina,380 000,114,2023,Omistusasunto
260,"Kerrostalo | 2h, kt, s",Tuuliharjunkatu 8 A,Keskusta,Nokia,149 800,43,2022,Omistusasunto
261,"Kerrostalo | 1h, k",Suvikatu 21 B,Niinivaara,Joensuu,53 000,33,1985,Omistusasunto
262,Kerrostalo | 3h + kt + s,Bostoninkaari 10,Amer,Tuusula,"31 798,51","72,5",2015,Asumisoikeusasunto
263,Rivitalo | 2h + k + kph,Lintuparvenpuisto 3,Lintuvaara,Espoo,187 000,58,1956,Omistusasunto
264,Paritalo | 4h + ask.h + k + s + var,Annankalliontie 4B 2,Hakkila,Vantaa,449 000,115,2023,Omistusasunto
265,Kerrostalo | 2h + kt + s,Keskipellonkatu 6,Kaleva,Kerava,"27 279,99",56,2012,Asumisoikeusasunto
266,Erillistalo | 5h + ask.h + k + s + var,Annankalliontie 4B 1,Hakkila,Vantaa,469 000,119,2023,Omistusasunto
267,"Kerrostalo | 2h, kk, rp",Tutkijankatu 2,Hervanta,Tampere,158 000,"40,5",2013,Omistusasunto
268,Rivitalo | 3h + k + s,Palokallionkatu 17 as,Kattilansilta,Mikkeli,94 500,68,1983,Omistusasunto
269,Paritalo | 3h + k + s,Ahvenentie 23 E,Pataluoto,Joensuu,92 000,70,1987,Omistusasunto
270,"Rivitalo | 2h, k, kph, s, wc",Keinokartanontie 6,Kartano,Hollola,129 800,"60,5",1989,Omistusasunto
271,Kerrostalo | 1h + kk + kph + p (Yhtiöjärjestyksen mukaan 1h + kk ja parv.),Untamontie 9 G,Käpylä,Helsinki,198 000,"33,5",1940,Omistusasunto
272,Rivitalo | 2h + k + ph + s,Hiitolankuja 2,,Pori,49 000,61,1989,Omistusasunto
273,"Omakotitalo | 4h, k, kph, wc, s",Nukulinkuja 15,Ruotsinkylä,Tuusula,365 000,168,2002,Omistusasunto
274,Omakotitalo | tupakeittiö + oh + 3mh + wc + s + kellari + at + var,Korpiahontie 33,Korpilahti,Jyväskylä,97 500,90,1957,Omistusasunto
275,Kerrostalo | 3 h + k,Luotsitie 7,Kelloniemi,Kuopio,79 500,"73,5",1978,Omistusasunto
276,Kerrostalo | 4-5h + kt + var,Auringonkierto 1 A22,Leinelä,Vantaa,337 900,"87,5",2022,Omistusasunto
277,Kerrostalo | 2-3h + kt + alk + var,Auringonkierto 1 A45,Leinelä,Vantaa,266 700,"60,5",2022,Omistusasunto
278,Kerrostalo | 4-5h + kt + var,Auringonkierto 1 A23,Leinelä,Vantaa,349 200,91,2022,Omistusasunto
279,Kerrostalo | 4-5h + kt + var,Auringonkierto 1 A29,Leinelä,Vantaa,310 700,78,2022,Omistusasunto
280,Kerrostalo | 4-5h + kt + var,Auringonkierto 1 A38,Leinelä,Vantaa,329 800,82,2022,Omistusasunto
281,Kerrostalo | 2-3h + kt + alk + var,Auringonkierto 1 A25,Leinelä,Vantaa,253 500,"60,5",2022,Omistusasunto
282,Kerrostalo | 4-5h + kt + var,Auringonkierto 1 A12,Leinelä,Vantaa,331 300,"87,5",2022,Omistusasunto
283,Kerrostalo | 4-5h + kt + var,Auringonkierto 1 A13,Leinelä,Vantaa,339 800,91,2022,Omistusasunto
284,Kerrostalo | 4-5h + kt + var,Auringonkierto 1 A32,Leinelä,Vantaa,344 800,"87,5",2022,Omistusasunto
285,Kerrostalo | 4-5h + kt + var,Auringonkierto 1 A39,Leinelä,Vantaa,316 500,78,2022,Omistusasunto
286,Kerrostalo | 4-5h + kt + var,Auringonkierto 1 A42,Leinelä,Vantaa,355 800,"87,5",2022,Omistusasunto
287,Kerrostalo | 2-3h + kt + alk + var,Auringonkierto 1 A35,Leinelä,Vantaa,258 700,"60,5",2022,Omistusasunto
288,Kerrostalo | 2-3h + kt + alk + var,Auringonkierto 1 A31,Leinelä,Vantaa,253 700,60,2022,Omistusasunto
289,Kerrostalo | 2h + k + p + s,Ranta-Tampellan katu 2,Tampella,Tampere,374 100,"52,5",2022,Omistusasunto
290,"Omakotitalo | 3mh, oh, k, kph, s, et, takkah, viherh, parvi",Eteläranta 17,Rantavitikka,Rovaniemi,374 100,169,1985,Omistusasunto
291,Omakotitalo | 7h + k + khh + s / ph + et + vh + kph / wc + tekn.tila,Neitsytpolku 16,,Inkoo,750 000,214,1990,Omistusasunto
292,Kerrostalo | 3-4h + k + kph + p. Yj:n muk. 3h + k,Menninkäisentie 5,Tapiola,Espoo,468 000,73,1954,Omistusasunto
293,Rivitalo | 3h + kk + s + käyttöull.,Reppukatu 10 B,Suurmetsä,Helsinki,345 000,"81,5",2018,Omistusasunto
294,"Omakotitalo | 3 h, k, ph, s",Salmentie 2,Kauttua,Eura,75 000,104,1959,Omistusasunto
295,Luhtitalo | 1h + k + wc + ransk parveke (1h + kt yhtiöjärjestyksen mukaan),Asteritie 3,Malmi,Helsinki,179 000,35,2019,Omistusasunto
296,Kerrostalo | 1H + K,Ilmarisenkatu 25-27,Pääskylahti,Savonlinna,17 934,33,1962,Omistusasunto
297,"Omakotitalo | 4h, k, s, kph, pkh, khh, aulatila, vh, 2wc, ter",Väinölänraitti 12,Hankamäki,Hankasalmi,249 000,127,2011,Omistusasunto
298,Kerrostalo | 3h + k + s + wc + lasitettu parveke,Laaksotie 7,,Kauniainen,420 000,108,1965,Omistusasunto
299,"Kerrostalo | 2h, k, s, lasitettu parveke",Suokatu 16 D A,,Hyvinkää,174 000,60,2004,Omistusasunto
300,Omakotitalo | Tornio I Kaakamo I Tila,Laivaniementie 975,Kaakamo,Tornio,59 000,70,1959,Omistusasunto
301,"Kerrostalo | 2h, avok, kph, et, parv",Korppaanmäentie 36,Pikku Huopalahti,Helsinki,224 000,"49,5",1991,Omistusasunto
302,"Paritalo | 4h, k, kph / s, 2WC, 2vh, kellari, terassi",Vilhonkatu 6,Anttilanmäki,Lahti,279 000,71,2002,Omistusasunto
303,Rivitalo | 2h + k + kph + s + vh + ak + var,Maijankoskenkuja 2 ,Juusonranta,Valkeakoski,137 500,50,2003,Omistusasunto
304,Omakotitalo | Haminan keskustan läheisyydessä siisti omakotitalo,Huutokallionkatu 41,Hevoshaka,Hamina,235 000,154,2003,Omistusasunto
305,"Rivitalo | 3h, k, s",Honkamäentie 54 B,Tynnörinen,Siilinjärvi,118 750,74,1994,Omistusasunto
306,Kerrostalo | 2h + kk + s,Tiirantie 4 D,Halssila,Jyväskylä,122 000,46,2008,Omistusasunto
307,Kerrostalo | 2h + avok + kh + s + p,Vaniljakuja 1,Aurinkolahti,Helsinki,258 000,44,2004,Omistusasunto
308,"Rivitalo | 3h, k, s",Terveyskeskuksentie 8,Saari,Paimio,132 000,80,1991,Omistusasunto
309,"Kerrostalo | 4h, k, s, kph, vh, lasitettu parveke",Tulikallionkatu 3 B,Tonttila,Lahti,119 000,"92,5",1971,Omistusasunto
310,"Omakotitalo | 6h, 5 mh, 2 k, sali",Tausta 359,Nummi-Pusula,Lohja,219 000,250,1926,Omistusasunto
311,"Kerrostalo | 4h, avok, kph, wc, las.p (yj mukaan 3h + k)",Soukanahde 8,Soukka,Espoo,219 000,82,1971,Omistusasunto
312,"Omakotitalo | 5h, k, s, terassi",Aurinkotuulenkatu 17,Harjuniitty,Nokia,398 000,126,2022,Omistusasunto
313,Kerrostalo | 1h + kt + kph / wc + las.parv,Kurjenmäenkatu 8 A,Kurjenmäki,Turku,175 000,"27,5",2020,Omistusasunto
314,Kerrostalo | 2h + k + kph + las.parv,Otavankatu 1 D 56,Peltosaari,Riihimäki,57 000,59,1974,Omistusasunto
315,"Kerrostalo | 2 h, keittiö, lasitettu parveke",Lumikintie 4,Roihuvuori,Helsinki,57 000,"43,5",1956,Omistusasunto
316,Luhtitalo | 1 h + kt + kph,Lintuluoto 2 B,Saaristokaupunki,Kuopio,99 000,"21,5",2021,Omistusasunto
317,"Kerrostalo | 3h, avok, kph, s, erill. wc, osittain lasitettu kattoterassi",Suopellonkaari 61 C,,Helsinki,458 500,70,2013,Omistusasunto
318,"Omakotitalo | 2h, k, rt, lämmin kuisti, kellari( sauna, ph, pukuhuone, varastot, pannuhuone)",Suurhirventie 5,Voikkaa,Kouvola,75 000,83,1965,Omistusasunto
319,Kerrostalo | 2h + k + sauna + pesuh / wc + vh + lasitettu parveke,Kuohuntie 3 A,Keskusta,Kangasala,159 000,"54,5",2006,Omistusasunto
320,"Rivitalo | 4-6h, k, s, 2xkph, 2xwc, piha",Siikakuja 7,Haukilahti,Espoo,648 000,135,1975,Omistusasunto
321,Omakotitalo | 4 huonetta + keittiö + kph / wc + wc + khh + 2 vh + suuri terassi + lämmin autotallirakennus,Sädekehä 6,Yli-Maaria,Turku,382 000,121,2020,Omistusasunto
322,Kerrostalo | 5 h + k,Ruokolahdentie 20 A 5,Vuoksenniska,Imatra,14 500,91,1961,Omistusasunto
323,Kerrostalo | 2h + kt + kph + lasitettu parveke(Yhtj. 2h + kt),Valimokuja 10,Pajala,Järvenpää,195 000,40,2018,Omistusasunto
324,Rivitalo | 5h + k + 2xkph + s + vh,Ompelijankuja 3,Solja,Pirkkala,397 000,"107,5",2019,Omistusasunto
325,Kerrostalo | 3h + kt + s + lasitettu parveke,Ketarantie 37 A 49,,Turku,440 000,82,2022,Omistusasunto
326,Kerrostalo | 3h + kt + s + lasitettu parveke,Ketarantie 37 A 52,,Turku,455 000,87,2022,Omistusasunto
327,Kerrostalo | 3h + kt + lasitettu parveke,Ketarantie 37 A 48,,Turku,318 500,"63,5",2022,Omistusasunto
328,Kerrostalo | 3h + kt + lasitettu parveke,Ketarantie 37 A 41,,Turku,319 500,"63,5",2022,Omistusasunto
329,Kerrostalo | 3h + kt + lasitettu parveke,Ketarantie 37 A 27,,Turku,293 750,"63,5",2022,Omistusasunto
330,Kerrostalo | 3h + kt + lasitettu parveke,Ketarantie 37 A 34,,Turku,301 750,"63,5",2022,Omistusasunto
331,Kerrostalo | 3h + kt + huoneistopiha / patio,Ketarantie 37 A 6,,Turku,285 500,"70,5",2022,Omistusasunto
332,Kerrostalo | 3h + kt + s + lasitettu parveke,Ketarantie 37 B 101,,Turku,459 500,"84,5",2021,Omistusasunto
333,Kerrostalo | 3h + kt + s + lasitettu parveke,Ketarantie 37 B 98,,Turku,449 500,"83,5",2021,Omistusasunto
334,Kerrostalo | 3h + kt + lasitettu parveke,Ketarantie 37 B 97,,Turku,321 500,"61,5",2021,Omistusasunto
335,Kerrostalo | 2h + kt + s + lasitettu parveke,Ketarantie 37 B 94,,Turku,281 500,"50,5",2021,Omistusasunto
336,Kerrostalo | 3h + kt + lasitettu parveke,Ketarantie 37 B 91,,Turku,311 500,"61,5",2021,Omistusasunto
337,Kerrostalo | 3h + kt + lasitettu parveke,Ketarantie 37 B 85,,Turku,302 750,"61,5",2021,Omistusasunto
338,"Omakotitalo | 9h, k, allasosasto, kph, wc, terassi, parveke, at",Mikontie 5,Merikaarto,Vaasa,289 000,327,-,Omistusasunto
339,"Paritalo | 5h, avok, khh, 2 ph / wc, s, lasitettu terassi ja parveke, varasto, autokatos",Harmaalaakso 2,Saunalahti,Espoo,469 000,"114,5",2019,Omistusasunto
340,"Omakotitalo | 5h, k, apuk, tkh, khh, s, 3 wc",Reittimäki 16,Nöykkiö,Espoo,498 000,160,1977,Omistusasunto
341,Kerrostalo | 1h + kt,Paturintie 3 A,Oulunkylä,Helsinki,249 500,"29,5",2022,Omistusasunto
342,Kerrostalo | 5h + k + rt + wc + kph + s + vh + 2 parveketta,Iiluodontie 9,Aurinkolahti,Helsinki,795 000,143,2006,Omistusasunto
343,Kerrostalo | 1h + kt,Wetterhoffinkatu 4,Keskusta,Hämeenlinna,129 000,"35,5",1933,Omistusasunto
344,"Rivitalo | 3h, k, khh, kph / s, 2x erill wc, terassi",Karjakontie 9,Ikuri,Tampere,265 000,76,2017,Omistusasunto
345,"Kerrostalo | 3h, k, kph, vh, p",Juhana Herttuan tie 14,Koskela,Helsinki,208 000,74,1973,Omistusasunto
346,Kerrostalo | 3h + k,Saarijärventi 4,Saarijärvi B,Kuopio,57 000,76,1973,Omistusasunto
347,Kerrostalo | 1h + kt,Äijäläntie 13,Väinölä,Jyväskylä,105 000,22,2021,Omistusasunto
348,"Omakotitalo | 5-(6)h, k, 2kph, 2wc, khh, s, vh, at",Mäntykaari 22,Taimo,Naantali,339 000,230,1978,Omistusasunto
349,Rivitalo | 3h + k + s,Luhtimäki 3,Varisto,Vantaa,158 000,83,1977,Omistusasunto
350,Kerrostalo | 2h + kk,Länsipuisto 16,Keskusta,Pori,99 000,41,1938,Omistusasunto
351,"Rivitalo | 3h, k, s",Terveyskeskuksentie 8,Saari,Paimio,130 000,80,1991,Omistusasunto
352,"Omakotitalo | 2mh, k, oh, kph / s",Kalliotie 4,Otalampi,Vihti,145 000,70,1966,Omistusasunto
353,"Omakotitalo | 5h, k, khh, kph, s, 2wc",Hirvijahdintie 41,Lehmo,Kontiolahti,255 000,120,2017,Omistusasunto
354,Rivitalo | 3h + k + wc + kph / s + aula + p (Yj:n mukaan 3h + k + s),Ketunmäentie 3,Klaukkala,Nurmijärvi,218 000,"81,5",2004,Omistusasunto
355,"Omakotitalo | oh, k, 2 mh, ph, s, khh, et",Keskisentie 12,Nilsiä,Kuopio,92 000,60,1947,Omistusasunto
356,"Kerrostalo | 1h, tupakeittiö, s",Roosinkatu 1 A,,Kokkola,119 000,"34,5",2017,Omistusasunto
357,Kerrostalo | 1h + k + kph + las.parv,Kanneltie 6 A 5,Kannelmäki,Helsinki,147 000,29,1960,Omistusasunto
358,Kerrostalo | 2h + k + kph + p,Leppisaarentie 1 C 2,Tammisalo,Helsinki,260 000,50,1961,Omistusasunto
359,Omakotitalo | 3h + kt + pukuh. + ph + s + at,Lehtopelto 16,Kerimäki,Savonlinna,103 000,93,1987,Omistusasunto
360,Omakotitalo | 5h + k + khh + s + varasto,Invalidintie 3 B,Lintuvaara,Espoo,519 000,116,2022,Omistusasunto
361,"Omakotitalo | 4h, k, tkh, ph, s, autotalli",Koskelokuja 26,Santtio,Uusikaupunki,87 500,"117,5",1977,Omistusasunto
362,"Omakotitalo | 3 mh, oh, k, khh, wc, s-tilat",Muurarintie 44,Metsämaa,Pori,83 000,118,1978,Omistusasunto
363,"Omakotitalo | 5h, k, kph, s, khh, vh",Riutantie 1,Keskusta,Vieremä,159 000,120,2003,Omistusasunto
364,"Kerrostalo | 2h, kk, s",Neulamäentie 30 b,Neulamäki,Kuopio,79 000,"45,5",1988,Omistusasunto
365,Rivitalo | 3h + k + s,Jahtikuja 2 C,Kulju,Lempäälä,259 000,69,2020,Omistusasunto
366,"Omakotitalo | 3mh, oh, k, khh, vh, th, kph, s",Ratsutie 50,Paimela,Hollola,208 000,112,1984,Omistusasunto
367,Kerrostalo | 3h + k,Puistokatu 10,Keskusta,Hanko,169 000,"61,5",1970,Omistusasunto
368,Kerrostalo | 1h + kt,Tykkitie 5,Hyrylä,Tuusula,129 000,"30,5",2022,Omistusasunto
369,Kerrostalo | 2h + avok + kph + s + vh + lasitettu parveke (yhtiöjärjestyksen mukaan 2h + k + s),Muotoilijankatu 6,Arabianranta,Helsinki,359 000,"56,5",2007,Omistusasunto
370,Rivitalo | 2h + kk + s,Kissaniementie 2,Keskusta,Multia,23 000,"44,5",1986,Omistusasunto
371,Omakotitalo | 5h + k + tkh + s,Suutarinkatu 34,Mutala,Joensuu,179 000,150,1983,Omistusasunto
372,"Omakotitalo | 6h, k, s, kph, 2x wc, ter.parv, ak",Kivimäentie 11,Kiveriö,Lahti,395 000,"127,3",2000,Omistusasunto
373,"Kerrostalo | 2h, kt, s",Hennalankuja 4,Ritoniemi,Jyväskylä,162 000,53,2011,Omistusasunto
374,"Erillistalo | 5h, k, kph, s",Tinanrinne 5 A,Masala,Kirkkonummi,459 000,112,2023,Omistusasunto
375,"Erillistalo | 5h, k, kph, s",Tinanrinne 5 C,Masala,Kirkkonummi,459 000,112,2023,Omistusasunto
376,"Rivitalo | 4h, k, s, kph / wc, wc, 2xvh",Koljalantie 2,Turenki,Janakkala,189 000,"91,5",2008,Omistusasunto
377,"Kerrostalo | 2h, k, kph, s, las.p",Korkalonkatu 5,Keskusta,Rovaniemi,152 000,"36,5",2018,Omistusasunto
378,"Rivitalo | 2h, k, s",Uittomiehentie 29,Kalaholma,Pori,97 000,"59,5",1988,Omistusasunto
379,Kerrostalo | 2h + kt + s,Ajurinkatu 2 B34 B,Keskusta,Rauma,205 000,53,2022,Omistusasunto
380,Kerrostalo | 4h + kt + khh + s,Weener-tie 3 A1,Keskusta,Eurajoki,222 300,80,2020,Omistusasunto
381,Kerrostalo | 2h + kt + s,Kotolankatu 2 C28,Keskusta,Rauma,183 700,45,2022,Omistusasunto
382,"Kerrostalo | 1h, kk, kph, alk, vh",Väliaitankatu 5,Aittorinne,Jyväskylä,59 000,36,1969,Omistusasunto
383,Rivitalo | 2h + k + s,Vipusenkatu 36,Lohtaja,Kajaani,76 800,60,1983,Omistusasunto
384,Omakotitalo | 4-5h + k + kph + s + vh,Keravanjärventie 66,Ohkola,Mäntsälä,229 000,109,1985,Omistusasunto
385,"Kerrostalo | 3h, k, kph",Hyvinkäänkatu 26,Viertola,Hyvinkää,79 000,58,1959,Omistusasunto
386,Rivitalo | 4h + kt + s,Tankomäenkatu 11 B 2,Mellunkylä,Helsinki,398 000,96,2023,Omistusasunto
387,"Omakotitalo | 3h, k.th, kph, khh, at",Pappilantie 7,,Kärkölä,128 000,108,1990,Omistusasunto
388,Kerrostalo | 2h + k,Ilmarinkatu 21 C,Tammela,Tampere,194 000,55,1942,Omistusasunto
389,"Omakotitalo | 5mh, oh, k, rh, kph, s, wc, takkah, khh",Ruotsalon kylätie 49,Ruotsalo,Kokkola,179 000,229,1949,Omistusasunto
390,Kerrostalo | 3-4h + kt + s + vh + khh + parveke n. 24 m2,Itätuulenkuja 10 C 138,Tapiola,Espoo,974 400,112,2024,Omistusasunto
391,Kerrostalo | 3h + kt + parveke n. 15 m2,Itätuulenkuja 10 C 167,Tapiola,Espoo,685 000,"68,5",2024,Omistusasunto
392,Kerrostalo | 3h + kt + s + vh + parveke n. 25 m2,Itätuulenkuja 10 C 152,Tapiola,Espoo,936 000,104,2024,Omistusasunto
393,"Kerrostalo | 3h, k, kph + 2 kpl parveke",Länsipuisto 20 A,Keskusta,Pori,139 500,80,1963,Omistusasunto
394,Kerrostalo | 1h + kt + alkovi,Kaanaankatu 1b C 124,Arabianranta,Helsinki,297 600,34,2022,Omistusasunto
395,Kerrostalo | 1h + kt,Kaanaankatu 1b C 121,Arabianranta,Helsinki,237 500,"25,5",2022,Omistusasunto
396,Kerrostalo | 1h + kt + alkovi,Kaanaankatu 1b C 118,Arabianranta,Helsinki,285 200,34,2022,Omistusasunto
397,Kerrostalo | 1h + kt,Kaanaankatu 1b C 115,Arabianranta,Helsinki,253 600,29,2022,Omistusasunto
