,Type,Address,District,City,Price (€),Area (sqm.),Year built,Form of ownership
1117,"Omakotitalo | k, oh, 3mh, tkh, s, kph, wc",Laitisentie 9,Uusikylä,Lahti,138 000,117,1981,Omistusasunto
1118,Kerrostalo | 2h + k,Teollisuustie 2,Keskusta,Laitila,55 000,62,1976,Omistusasunto
1119,Kerrostalo | 2h + k + lasitettu parveke,Seurantalontie 8,Keskusta,Masku,78 000,"58,5",1974,Omistusasunto
1120,"Paritalo | 4-5 mh, k, rt, 2 x oh, takkah., kph, sauna, 2 x wc, 2x vh, khh, at, ask.h. ja var.",Viikkokuja 7 A,Lystimäki,Espoo,880 000,272,1986,Omistusasunto
1121,"Kerrostalo | 2h, k",Kiertotähdentie 2,Suutarila,Helsinki,185 000,"63,5",1974,Omistusasunto
1122,"Kerrostalo | 2h, kk, kph",Raappavuorenreuna 8,Martinlaakso,Vantaa,118 000,"47,5",1970,Omistusasunto
1123,"Kerrostalo | 2h, k, s, vaatehuone, las.parv.",Kylätorintie 10,Kirkkojärvi,Espoo,179 000,67,1984,Omistusasunto
1124,Kerrostalo | 2h + k,Laajametsänkuja 4,Martinlaakso,Vantaa,145 000,55,1969,Omistusasunto
1125,Kerrostalo | 3h + k,Keskuspuistokatu 11,Sauvosaari,Kemi,72 000,72,1961,Omistusasunto
1126,Kerrostalo | 3h + k + s,Torikuja 10,Keskusta,Nousiainen,189 000,"82,9",2005,Omistusasunto
1127,Omakotitalo,Pilkkikuja 5,Könönpelto,Varkaus,19 000,120,1950,Omistusasunto
1128,"Kerrostalo | 3h, k, s",Pietarinkatu 6,Kaukola,Mikkeli,185 000,"76,5",2006,Omistusasunto
1129,"Rivitalo | 2h, k, s",Kurrenkuja 3 A,Keskusta,Rantasalmi,38 000,"58,5",1995,Omistusasunto
1130,Kerrostalo | 3 h + k + p,Vääränkalliontie 8,Suorama,Kangasala,38 000,"74,5",1977,Omistusasunto
1131,Kerrostalo | 3h + k + lasitettu parveke,Vääränkalliontie 12,Suorama,Kangasala,109 000,"74,5",1976,Omistusasunto
1132,Kerrostalo | 1h + kk + kph + parveke,Pallaskero 6 B,Länsimäki,Vantaa,109 000,"33,5",1974,Omistusasunto
1133,Omakotitalo | 5mh + oh + k + kph + s + 2wc + takkahuone,Kooninkatu 15,Myllymäki,Kankaanpää,109 000,271,1981,Omistusasunto
1134,"Omakotitalo | 4-5h, k, 2xkph, s, khh, th, harrasteh, lasitettu terassi, at",Kalervonkatu 25,Leinola,Tampere,385 000,106,1981,Omistusasunto
1135,Kerrostalo | 1h + tk + s + las.p,Kanjoninkatu 3 A,Hervanta,Tampere,110 000,40,1990,Omistusasunto
1136,"Omakotitalo | 5h, k, kph, s, khh, vh",Kirstinharjuntie 15,Keskusta,Ii,164 000,127,1991,Omistusasunto
1137,"Kerrostalo | 2h, k, kph, s, las.parv.",Terveystie 5,,Hollola,103 000,45,1985,Omistusasunto
1138,"Kerrostalo | 1h, kk, s",Vuorikatu 11,Keskusta,Mikkeli,98 000,31,1992,Omistusasunto
1139,"Kerrostalo | 3h, avok., kph / wc, vh",Teiskontie 19,Kaleva,Tampere,259 000,"62,5",1956,Omistusasunto
1140,Rivitalo | 2h + k + s,Emmintie 3 B 7,Keskusta,Rautavaara,19 000,47,1991,Omistusasunto
1141,Omakotitalo | Tupakeittiö + 3-4mh + kph / wc + sauna + erill.wc + autotalli,Lukoilantie 19,Ruohonpää,Turku,425 000,-,1962,Omistusasunto
1142,"Kerrostalo | 3h, k",Ilmarisenkatu 11,Keskusta,Jyväskylä,182 000,80,1962,Omistusasunto
1143,Rivitalo,Kahilanniementie 7,,Lappeenranta,379 000,"103,5",2011,Omistusasunto
1144,"Rivitalo | 2h, k, s",Lemettiläntie 2,,Laukaa,82 000,49,1977,Omistusasunto
1145,"Kerrostalo | 3h, k, s, las.parv.",Kauppakatu 9,Kotkansaari,Kotka,82 000,"73,5",1968,Omistusasunto
1146,"Rivitalo | 3h, k, s (YJ:n mukaan 4h, k, s)",Kuukkelintie 31 B,Ounasmetsä,Rovaniemi,138 000,88,1982,Omistusasunto
1147,Kerrostalo | 3h + avok. + kph + parv. (yj. muk. 3h + kk + kh + p),Porvoonkatu 21,Alppiharju,Helsinki,449 000,"65,5",1959,Omistusasunto
1148,Kerrostalo | 3h + keittiö + kph + vaatehuone + lasitettuparveke (ytj.3h + k),Vaahtorinne 4,Louhela,Vantaa,216 000,71,1969,Omistusasunto
1149,"Omakotitalo | 4mh, oh, k, aula, wc, ph",Sandöntie 302,Ahlainen,Pori,139 000,100,1890,Omistusasunto
1150,"Omakotitalo | 3mh, oh, k, wc",Varsannantie 122,Palus,Ulvila,129 000,90,1953,Omistusasunto
1151,"Omakotitalo | Ak: 1 mh, k, oh, wc, khh. Yk: 2 mh, aula, ph, s, wc, vh.",Hirvipolku 9,Huhtinen,Porvoo,129 000,102,1993,Omistusasunto
1152,Kerrostalo | 3h + k + kph + s + wc + lasp,Huopalahdentie 19 D 55,Munkkiniemi,Helsinki,575 000,"70,5",2019,Omistusasunto
1153,Omakotitalo | 3h + k + khh + kph + 2wc + s,Pohjoiskuja 2A,Torkinmäki,Kokkola,245 000,88,1960,Omistusasunto
1154,"Kerrostalo | 3h, k, kph, lasitettu parveke",Vuorenpeikontie 3,Roihuvuori,Helsinki,238 000,55,1959,Omistusasunto
1155,Paritalo | 3h + k + kph + wc + käyttöullakko + v,Alitie 5 As.2,Vähäheikkilä,Turku,168 000,80,1959,Omistusasunto
1156,"Omakotitalo | 4 h, k, kph, s, vh, 2 wc",Kartanontie 40,Pöytäalho,Järvenpää,298 000,132,1952,Omistusasunto
1157,"Omakotitalo | mh, oh, k, pkh, s, ulkovarasto, at",Savolantie 4,Sumiainen,Äänekoski,34 000,80,1957,Omistusasunto
1158,Kerrostalo | 3h + avok + sauna + kph + wc + varasto,Maahengenkuja 2,Rautila,Vehmaa,129 000,100,1986,Omistusasunto
1159,Kerrostalo | 1h + tpk + vh + p,Juvankatu 14,Kaukajärvi,Tampere,183 000,"46,5",2018,Omistusasunto
1160,"Rivitalo | 2-3h, avok, kph, terassipiha",Muinaislinnantie 1 C,Vartiokylä,Helsinki,196 000,59,1984,Omistusasunto
1161,"Rivitalo | 4h, avok, rt, khh, wc, s, kph, lasiparveke, parveke.",Metsänhoitajanraitti 1,Viikki,Helsinki,448 000,104,2008,Omistusasunto
1162,"Paritalo | 5h, k, kph, s, khh, 2x wc, vh, var., ak, terassi",Nauriskatu 6,Villilä,Tampere,329 000,110,2008,Omistusasunto
1163,"Kerrostalo | 3h, k, kh, erill.wc, lasitettu parveke",Suvantopolku 5,Myyrmäki,Vantaa,115 000,66,1973,Omistusasunto
1164,"Luhtitalo | 3h, k, vh, wc, kph, s, p",Papusenkatu 23,Pohtola,Tampere,161 000,77,1989,Omistusasunto
1165,"Rivitalo | 3h, k, ph, s, wc, terassi, varasto, vaatehuone",Orvokkikatu 15,Kyrölä,Järvenpää,320 000,73,2019,Omistusasunto
1166,Rivitalo | 3h + k + kph + s + wc + ak + var,Leimukatu 28 B 1,Kyrölä,Järvenpää,295 000,"70,5",2017,Omistusasunto
1167,"Kerrostalo | 4h, k, s, erillis wc, lasitettu parveke",Lehdokkitie 7,Tikkurila,Vantaa,266 000,"94,5",1982,Omistusasunto
1168,Omakotitalo | 5h + k + s + wc + khh + p + var + at,Lumonkatu 6,Kiiskilänmäki,Lahti,99 000,150,1949,Omistusasunto
1169,"Kerrostalo | 2h, k",Voudinkuja 5,Voudinpuisto,Lohja,85 000,63,1974,Omistusasunto
1170,Kerrostalo | 3H + KT + S,Kotilokatu 1 A 23,Saaristokaupunki,Kuopio,"32 960,79",69,2014,Asumisoikeusasunto
1171,Kerrostalo | 3H + K + S,Asuntamaanrinne 3 A 14,Vuores,Tampere,"33 469,14","67,5",2015,Asumisoikeusasunto
1172,Rivitalo | 2H + K + S,Fasaanintie 6 C 07,Ojoinen,Hämeenlinna,"16 481,43",54,1996,Asumisoikeusasunto
1173,"Omakotitalo | 5h, k, kh, ",Lammenpolku 8,Hupeli,Jyväskylä,62 000,90,1981,Omistusasunto
1174,"Kerrostalo | 3h, k, s, las.parv.",Hannulanpolku 20 A,Linnainmaa,Tampere,249 000,"68,5",2015,Omistusasunto
1175,Kerrostalo | 3h + k + kh + s,Hiirulaisenkuja 4 A,Hiironen,Oulu,139 000,72,2001,Omistusasunto
1176,"Rivitalo | 4h, k, s, askh",Niemenmaantie 26,,Pirkkala,390 000,128,1995,Omistusasunto
1177,"Rivitalo | 3h, k, s",Kymenlaaksonkuja 1 C,Harittu,Turku,168 000,83,1997,Omistusasunto
1178,Omakotitalo | 4h + k + s + kph + 2wc + ask.huone + kellari,Aaponkatu 20,Kruununpuisto,Hyvinkää,259 000,129,1957,Omistusasunto
1179,Paritalo | 2-3h + k + s + autotalli,Pallokatu 4,Vetokannas,Vaasa,159 000,70,1924,Omistusasunto
1180,"Kerrostalo | 2h, k, kph, s, vh, lasitettu parveke",Yliopistonkatu 50,Sorsapuisto,Tampere,350 000,"54,5",2016,Omistusasunto
1181,"Rivitalo | 2h, k, kph, patio",Laurinkyläntie 8,Lievestuore,Laukaa,34 000,64,1959,Omistusasunto
1182,"Omakotitalo | 4 h, k, wc / kph, erillis wc, sauna, 2 x vh.",Tiilääntie,Tiilää,Askola,249 000,122,2004,Omistusasunto
1183,"Rivitalo | 3h, k, kph, ter",Laurinkyläntie 8,Lievestuore,Laukaa,27 000,78,1959,Omistusasunto
1184,Paritalo | 5h + k + s,Huhtakoukku 25-27,Latokaski,Espoo,419 000,111,1979,Omistusasunto
1185,"Kerrostalo | 1h, kt, alk.",Puijonkatu 29,Keskusta,Kuopio,163 900,34,2019,Omistusasunto
1186,"Kerrostalo | 4h, k, kph, s, wc, parv.",Metsurintie 10,Neulamäki,Kuopio,103 000,91,1980,Omistusasunto
1187,Omakotitalo | 3mh + oh + tkh + k + rh + ph + s + 2wc,Tiilenlyöjäntie 11,Musa,Pori,89 500,109,1966,Omistusasunto
1188,Kerrostalo | 2h + K + parveke (yht.järj. 2h + K),Laajavuorenkuja 3,Martinlaakso,Vantaa,119 000,53,1972,Omistusasunto
1189,"Omakotitalo | 4-5h, k, 2kph, s, khh, wc, vh, AK, var.",Artturintie 30,Karjasilta,Oulu,119 000,169,2019,Omistusasunto
1190,"Rivitalo | 3h + k + kph / s / wc, lasitettu terassi + Autokatos",Vääränkallionkuja 5 D,Suorama,Kangasala,245 000,79,2011,Omistusasunto
1191,Kerrostalo | 3h + k + kph + s + p,Laivuri Petterin katu 5 A,Viikki,Helsinki,369 000,70,2005,Omistusasunto
1192,Kerrostalo | 2h + k + kph (yj:n mukaan 2h + k),Vuorimiehenkatu 31,Ullanlinna,Helsinki,449 000,"50,5",1961,Omistusasunto
1193,Rivitalo | 2h + k + phh + s,Harjukatu 16 a 5,Keskusta,Puolanka,28 000,"60,5",1974,Omistusasunto
1194,"Omakotitalo | 2-3 h, oh, avokeittiö, khh, kph, sauna, 2 wc, vh, kuisti, parveke, varastot, autokatos, tuulikaappi, eteinen ja aula",Koskitie 6,Kirveskoski,Pornainen,225 000,"122,5",1977,Omistusasunto
1195,Kerrostalo | 3h + avok + kph + vh (yhtiöjärjestyksen mukaan 4h + k),Mannerheimintie 81,Meilahti,Helsinki,538 000,80,1949,Omistusasunto
1196,"Omakotitalo | 5h, k, khh, kph, s, 2wc, 2auton talli, varasto, pihasauna",Rauhalantie 15,Päivärinne,Muhos,338 000,141,2006,Omistusasunto
1197,Rivitalo | 5h + k + rt + 2Kph + s,Hiidenrannantie 18,Nummela,Vihti,249 000,"109,5",2005,Omistusasunto
1198,Kerrostalo | 1h + kk,Kariniementie 19,Voisalmi,Lappeenranta,53 000,"36,5",1983,Omistusasunto
1199,"Kerrostalo | 1h, kk, alkovi, vh, ph, lasitettu suojaisa parveke",Aittapellonkatu 9 A,Tonttila,Lahti,48 400,32,1979,Omistusasunto
1200,"Rivitalo | 2-3h + k + kph / s / wc + erill.wc, Autokatos",Kruutinkuja 4 A,Finninmäki,Tampere,189 000,69,1985,Omistusasunto
1201,Rivitalo | 2h + k + kph + s + vh,Hakaluhdantie 3,Jurva,Kurikka,49 000,66,1981,Omistusasunto
1202,Omakotitalo | oh + k + 3mh + alkovi + s + kph + khh,Pohjoispuolentie 178,Iinattijärvi,Pudasjärvi,59 000,140,1966,Omistusasunto
1203,Rivitalo | 4h + k + wc + kph + s + terassi + ak +  + var,Rusthollinkatu 15,Tasanne,Tampere,289 000,100,1982,Omistusasunto
1204,"Kerrostalo | 1h, k",Kirkkokatu 8,Keskusta,Joensuu,76 000,32,1954,Omistusasunto
1205,"Omakotitalo | 2mh, oh, k, rt, kph, khh, var, et",Evontie 19,Lammi,Hämeenlinna,99 000,100,1933,Omistusasunto
1206,Omakotitalo | 5h + k + sauna + autotalli,Käyräkatu 4,Toejoki,Pori,110 000,120,1966,Omistusasunto
1207,Kerrostalo | 4 h + k + kph + parveke,Merikorttitie 1,Vuosaari,Helsinki,198 000,82,1964,Omistusasunto
1208,"Rivitalo | 2h, k, kph, s, wc",Piritantie 5 B,Halikko,Salo,78 500,63,1985,Omistusasunto
1209,Kerrostalo | 2h + k,Wallininkuja 2 D,Kallio,Helsinki,310 000,52,1959,Omistusasunto
1210,Rivitalo | 4h + avok. + kh + s + erillinen wc + las.p + terassipiha + ulkovarasto + autokatos,Mäkikurpankuja 3 B,Kurkimäki,Helsinki,295 000,"86,5",1987,Omistusasunto
1211,"Kerrostalo | 3h, k",Karsikkotie 7 B,Pupuhuhta,Jyväskylä,39 500,81,1980,Omistusasunto
1212,Omakotitalo | 4h + k + saunaos + wc + aputilat + autovaja / varasto,Leppäkertunkatu 1,Perno,Turku,139 000,100,1960,Omistusasunto
1213,Rivitalo | 4-5h + k + s.os + parveke + terassi,Kirkkoveräjäntie 7 D,Loukonlahti,Pirkkala,329 000,125,1973,Omistusasunto
1214,Kerrostalo | 2h + kk + kph,Sammonkatu 37 C,Kaleva,Tampere,196 000,"42,5",1957,Omistusasunto
1215,Kerrostalo | 1h + k + kph + wc + p,Valhallankatu 9,Töölö,Helsinki,373 000,"48,5",1940,Omistusasunto
1216,Luhtitalo | 1h + kk + kph + parveke,Hakolahdenkuja 4,Lauttasaari,Helsinki,258 000,30,1960,Omistusasunto
1217,"Kerrostalo | 2h, avok, kph",Hämeentie 14,Kallio,Helsinki,269 000,41,1962,Omistusasunto
1218,Omakotitalo | 4h + k + kph + s + ak + vh,Minkinreitti 12B,Mäntyveräjä,Kangasala,329 000,109,2019,Omistusasunto
1219,"Rivitalo | 4h, k, rt, psh, s, khh, 2x erill wc, vh, lasitettu parveke ja terassi, var",Laulunmaankatu 5,Muotiala,Tampere,417 000,"119,5",2011,Omistusasunto
1220,"Rivitalo | 2h, k, kph, s, autokatos",Saaliskatu 3,Tupuri,Salo,72 000,55,1989,Omistusasunto
1221,Omakotitalo | 3h + k + vh + kph + s + wc + at + var,Luhtakuja 6,Pikkola,Kangasala,289 000,96,1976,Omistusasunto
1222,Kerrostalo | 2h + k,Ilmarinkatu 23,Kaleva,Tampere,229 000,55,1942,Omistusasunto
1223,Rivitalo | 2 h + k + s,Maurizintie 4,Kriivari,Paimio,135 000,"63,5",1989,Omistusasunto
1224,"Paritalo | 4h, k, khh, kph, s, wc, vh, ter, var, ak.",Tähdenlento 10,Vääräjärvi,Jyväskylä,135 000,102,2020,Omistusasunto
1225,Kerrostalo | 1h + k + alk + kph + ter,Urkupillintie 7 K 89,Kannelmäki,Helsinki,145 000,36,1977,Omistusasunto
1226,"Paritalo | 4h, avok, kph, s, 2xwc, parveke, terassi",Henrik Sohlbergin tie 16,Oulunkylä,Helsinki,469 000,110,1991,Omistusasunto
1227,"Erillistalo | 4h + k + ps + tkh (Yläkerta 3h + k + suihkuhuone, alakerta 1h + tk, muuta tilaa s + ph + khh / takkah + WC, autotalli, varasto",Tuohimäentie 68,Paloheinä,Helsinki,528 000,"120,5",1989,Omistusasunto
1228,Rivitalo | 3h + k + khh + ph + s + lasitettu terassi,Valimontie 1,Keljonkangas,Jyväskylä,185 000,"85,5",2004,Omistusasunto
1229,"Kerrostalo | 2h, k, et, vh, kph / wc",Tennbyntie 36,Tennby,Parainen,89 000,60,1970,Omistusasunto
1230,Omakotitalo | 4h + k + apuk. + s + ph + wc + eteistila,Litukanrinne 16,Litukka,Ylöjärvi,197 000,"101,5",2008,Omistusasunto
1231,"Erillistalo | 5h, k, s, khh, kph-wc, wc",Haltialehto 14,Nöykkiö,Espoo,197 000,153,1989,Omistusasunto
1232,"Kerrostalo | 2h, k, kph, p",Sammonkatu 20,Kaleva,Tampere,220 000,56,1961,Omistusasunto
1233,"Kerrostalo | 3h, k, s, wc, vh, parveke",Aulangontie 22,Hätilä,Hämeenlinna,138 000,"76,5",1985,Omistusasunto
1234,Paritalo | 3h + k + vh + kph + erill. wc + s + ransk.p. + ulkovar. (yht.jär. mukaan 3h + k + s + ulkovarasto),Lopentie 47,Hirsimäki,Riihimäki,166 000,78,1984,Omistusasunto
1235,"Rivitalo | 5h, k, 3wc, th, uima-allas, s, khh, varasto, p, patio",Järvenpäänkatu 9,Möysä,Lahti,199 000,260,1972,Omistusasunto
1236,"Kerrostalo | 1h, avok, kph, las. parveke",Kirkkojärventie 10 A,Espoon keskus,Espoo,209 000,32,2020,Omistusasunto
1237,"Kerrostalo | 1h, tk, s",Puulinnankatu 5,Linnanmaa,Oulu,209 000,"36,5",2001,Omistusasunto
1238,Omakotitalo | 3h + vh + kph + s + wc + khh + var + at,Silvolanmetsä 3,Auranlaakso,Kaarina,478 000,120,2022,Omistusasunto
1239,Omakotitalo | 4h + k + s + kph + khh + et + at + var,Paltuntie 3,Laasonportti,Lempäälä,358 000,118,2012,Omistusasunto
1240,Kerrostalo | 4h + k + kph + 2xvh + 2xparveke,Helsingintie 37,Keskusta,Karkkila,114 000,"86,5",1969,Omistusasunto
1241,"Omakotitalo | 5h, k, khh, ph, s, 2 x erillinen wc, vh, terassi",Mehtäraitti 65,Kangashäkki,Uurainen,285 000,162,2010,Omistusasunto
1242,Omakotitalo | 3h + k(2mh + tupakeittiö) + khh + s / (yläkerta varaus),Jäniksentaival 14,Kärki,Seinäjoki,265 000,98,2006,Omistusasunto
1243,"Omakotitalo | 3h, k, khh, kph, s, wc, yläk.varaus, AT, sauna, aitta",Yläkatu 29,,Ii,265 000,80,1993,Omistusasunto
1244,Kerrostalo | 2H + K + S,Maikkulanraitti 2 ja Kangaskontiontie 1,Maikkula,Oulu,"17 183,54","54,5",2003,Asumisoikeusasunto
1245,Kerrostalo | 3H + K,Otavantie 13,Korso,Vantaa,"18 652,41",74,1992,Asumisoikeusasunto
1246,"Rivitalo | 4 h, k, s, kph, monitoimihuone, wc / khh, kph / wc, varasto, etu- ja takapiha",Jousikatu 3,Kaleva,Kerava,229 000,107,1976,Omistusasunto
1247,"Omakotitalo | 3mh, oh, k, takkahuone, pesuh, s, 2xwc, vh",Siurontie 57,Siuro,Nokia,228 000,172,1990,Omistusasunto
1248,Kerrostalo | 1h + tk + kh + ullakkovarasto,Löylykatu 10,Mäki-Matti,Jyväskylä,89 000,22,1966,Omistusasunto
1249,Omakotitalo | 4h + k + s + tk,Suihkutie 25,Rekola,Kouvola,119 000,123,1975,Omistusasunto
1250,"Paritalo | 4-5h, keittiö, sauna, kph, khh, lasitettu terassi, lämmin varasto, terassit",Lakitie 4,Muurala,Espoo,375 000,95,1999,Omistusasunto
1251,Kerrostalo | 1h + kk + p,Kiviharjunkatu 10,Kiviharju,Lappeenranta,79 000,"31,5",1989,Omistusasunto
1252,Rivitalo | 6h + k + ruok.h,Pyörökiventie 9 B,Tammisalo,Helsinki,417 000,126,1968,Omistusasunto
1253,"Rivitalo | 3h, k, s",Sipulikatu 1 A,Pirtti,Kuopio,189 000,"67,5",2000,Omistusasunto
1254,"Kerrostalo | 3h, k, wc, vh, s, las.p",Multiojankatu 8 H,Multisilta,Tampere,125 000,"72,5",1972,Omistusasunto
1255,Kerrostalo | 1h + k,Nokiankatu 2,Martti,Turku,186 000,42,1952,Omistusasunto
1256,"Rivitalo | 3h, k, s, autokatos",Kelutie 3 as,Lehmo,Kontiolahti,148 000,73,2005,Omistusasunto
1257,"Omakotitalo | 3(-4h), k, wc, kph, s, vh, 3var, autotalli",Voionmaankatu 47,Rahola,Tampere,228 000,94,1963,Omistusasunto
1258,Kerrostalo | 2h + k + kph + parveke,Porvoonkatu 5-7,Kallio,Helsinki,279 000,"41,5",1963,Omistusasunto
1259,"Omakotitalo | 5h, k, 3 wc, kph, s, khh, vh, at ja ak",Hanhikkikatu 5,,Salo,262 000,156,2011,Omistusasunto
1260,"Omakotitalo | 5h, k, s, kph + takkahuone + 3wc:tä. Huoneluvuissa on lisäsiiven tilat.",Myllymäenkatu 14,Hakumäki,Ikaalinen,139 800,141,1975,Omistusasunto
1261,Kerrostalo | 1h / alkovi + kt + kh + parveke,Tietolinja 7,Linnanmaa,Oulu,109 000,"25,5",2018,Omistusasunto
1262,"Omakotitalo | 5-6h, k, s, khh, 2 x wc + autotalli",Taavanpolku 4,Kirkonkylä,Nurmijärvi,449 000,179,1999,Omistusasunto
1263,Kerrostalo | 3h + k,Kohmankaari 4,Tesoma,Tampere,96 000,"65,5",1967,Omistusasunto
1264,"Kerrostalo | 2h, k, kph, parveke",Valtakatu 38,Keskusta,Kemi,29 000,50,1946,Omistusasunto
1265,Kerrostalo | 4h + k + ph + wc,Väinönraitti 5,Väinölä,Pori,61 000,"96,5",1974,Omistusasunto
1266,"Kerrostalo | 3h, k, kph, s, wc, las.p.",Sarvikatu 4,Jalkaranta,Lahti,129 000,"72,5",1992,Omistusasunto
1267,"Omakotitalo | 4h, k, s, khh",Savilahdenpiha 22,Tervakoski,Janakkala,284 000,128,2006,Omistusasunto
1268,"Omakotitalo | 2mh, oh, k, wc, th, wc, ph, s, pukuhuone",Lähdekuja 1,,Naantali,179 500,122,1985,Omistusasunto
1269,Kerrostalo | 2H + K + S,Mannilantie 40,Keskusta,Järvenpää,295 000,69,2008,Omistusasunto
1270,Rivitalo | 3h + k + kph / s,Piiskookuja 3,Kalliokoski,Kauhava,119 000,"73,5",2014,Omistusasunto
1271,Kerrostalo | 2h + kk + kph,Viipurinkatu 9,Alppila,Helsinki,289 000,41,1936,Omistusasunto
1272,Kerrostalo | 1h + kk,Raastuvankatu 12-14,Keskusta,Vaasa,79 000,"23,9",1962,Omistusasunto
1273,"Omakotitalo | 4h, k, khh, kph, 2wc, s",Haminamäentie 92,Haminalahti,Kuopio,425 000,150,1920,Omistusasunto
1274,Kerrostalo | 2h + k + kh,Peltolantie 16,Peltola,Oulu,89 500,48,1955,Omistusasunto
1275,Kerrostalo | 2h + kk + kph + lasitettu parveke,Vaasankatu 18 B,Kallio,Helsinki,278 000,39,1966,Omistusasunto
1276,Omakotitalo | 7h + aulah + k + kph + s,Kylkkälänraitti 77,Kylkkälä,Isokyrö,99 000,173,1981,Omistusasunto
1277,"Kerrostalo | 3h, k, s, kph, wc, 2 * lasit.p",Hämeenpuisto 16,Hämeenpuisto,Tampere,749 000,96,2017,Omistusasunto
1278,"Kerrostalo | 3h, avokeittiö, kph, ranskalainen parveke",Aino Acktén tie 8,Haaga,Helsinki,309 000,59,1954,Omistusasunto
1279,Rivitalo | 3 h + avok + kph + s + wc + ku + var + ak,Alkutie 75,Pakila,Helsinki,425 000,78,1981,Omistusasunto
1280,Puutalo-osake | 1h + avok + kph (yj:n mukaan h + k),Puutarhakatu 35,Port Arthur,Turku,192 000,37,1900,Omistusasunto
1281,"Omakotitalo | 5h, k, khh, erill.wc, kph, s, 2 vhh, autokatos",Urponmaantie 10,,Tampere,365 000,121,2000,Omistusasunto
1282,"Omakotitalo | 3h, k, rt, 2xkph, 2xwc, s, ak, terassi, piha",Suotie 10,Mattila,Tuusula,359 000,126,1999,Omistusasunto
1283,Rivitalo | 3h + k + s,Kreetankuja 13,Keskusta,Raisio,195 000,83,1987,Omistusasunto
1284,"Kerrostalo | 2h, avok, kph, et",Lönnrotinkatu 45,Hietalahti,Helsinki,195 000,"58,5",1939,Omistusasunto
1285,"Paritalo | 3h, k, kph, s, khh",Parkkisentie 17,Parkkisenkangas,Oulu,369 000,"102,5",2018,Omistusasunto
1286,Kerrostalo | 3h + k + kph + parveke,Santavuorentie 2,Haaga,Helsinki,275 000,"59,5",1957,Omistusasunto
1287,Kerrostalo | 2h + kt,Mannerheimintie 43,Töölö,Helsinki,389 000,"49,5",1937,Omistusasunto
1288,Paritalo | 4h + k + arkioh + s + khh,Ymmerstanrinne 4,Ymmersta,Espoo,545 000,"128,5",2006,Omistusasunto
1289,Kerrostalo | 1h + kk + kph / wc + et,Tuureporinkatu 5 D,Keskusta,Turku,114 000,"19,5",1951,Omistusasunto
1290,Kerrostalo | 3h + k + kph / wc + s + erill. wc + las.parv.,Emännänkatu 11 E,Hovirinta,Kaarina,125 000,"72,5",1985,Omistusasunto
1291,Omakotitalo | 5-6h + k + rt + khh + kph / wc + erill.wc + saunaos + autotalli / katos,Tontinkatu 11,Ihala,Raisio,378 000,240,1993,Omistusasunto
1292,Kerrostalo | 2H + K,Paperitehtaankatu 24 A 35,Kangas,Jyväskylä,"29 146,75",52,2020,Asumisoikeusasunto
1293,"Luhtitalo | 3h, k, kph, s, erill. wc, lasitettu terassi, piha (yj:n mukaan 3h + k + s, piha n. 60 m2)",Laurinniityntie 12,Haaga,Helsinki,307 500,80,1982,Omistusasunto
1294,Kerrostalo | 2 H + TK,Appiukontie 5 B 41,Keljo,Jyväskylä,"17 325,15",42,2021,Asumisoikeusasunto
1295,Kerrostalo | 2h + k,Urpuviita 4 B,Kasperi,Seinäjoki,56 000,"58,5",1973,Omistusasunto
1296,"Omakotitalo | 4h, k, kh, s, ph, ah, wc, vh, ",Vanhankirkontie 5,,Petäjävesi,107 000,119,1978,Omistusasunto
1297,"Omakotitalo | 2h, k, kph / wc, sauna",Paneliantie 208,Panelia,Eura,43 000,75,1903,Omistusasunto
1298,Kerrostalo | 1h + k,Kasarmikatu 26 B,Kaartinkaupunki,Helsinki,283 000,28,1928,Omistusasunto
1299,Kerrostalo | 2h + k + vh + kph + wc,Mannerheimintie 40 B,Töölö,Helsinki,585 000,"76,5",1939,Omistusasunto
1300,Kerrostalo | 2 h + k + s,Raunistulantie 33,Raunistula,Turku,257 000,60,2012,Omistusasunto
1301,Kerrostalo | 2h + k,Urpuviita 1 A,Kasperi,Seinäjoki,57 000,"58,5",1974,Omistusasunto
1302,"Omakotitalo | 3mh, k, oh, takkahuone, khh, kph, s, 2wc, 2vh, kuisti",Ukontie 1,Villähde,Lahti,299 000,"139,5",1987,Omistusasunto
1303,"Omakotitalo | 5h, oh, k, khh, kph, s, 2wc, terassi, parveke",Riihelänkatu 7 A,Kärpänen,Lahti,494 000,150,2018,Omistusasunto
1304,"Omakotitalo | 6h, k, apk, 3wc, 2aulaa, uima-allastila + th, ph, s, p",Brunnsvikintie 24,Huvilaranta,Pori,549 000,246,1974,Omistusasunto
1305,Omakotitalo | 5h + k + khh + kph + s + takkah + var,Pitkostie 10,Kaunisharju,Jyväskylä,188 000,141,1982,Omistusasunto
1306,Kerrostalo | 2h + kt,Rubiinikehä 1a,Kivistö,Vantaa,"31 559,91","41,5",2015,Asumisoikeusasunto
1307,Kerrostalo | 3h + kt,Rubiinikehä 1a,Kivistö,Vantaa,"52 765,33",75,2015,Asumisoikeusasunto
1308,"Kerrostalo | 3h, k, p",Puistikkotie 5 B,Nikkilä,Sipoo,129 000,73,1977,Omistusasunto
1309,Kerrostalo | 3h + k + s,Kulovalkeankuja 4,Tuomarila,Espoo,"47 085,77",79,2010,Asumisoikeusasunto
